ID;LINEA;ACERO;TIPO_ACERO;SALIDA DEL PROVEEDOR;LLEGADA A FÁBRICA;ORIGEN;TRANSPORTE;PESO NETO;INICIO DESCARGA;FIN DESCARGA;ESPESOR;TEMPERATURA;FALLAS;TURNO;SUPERVISOR
1476;Línea B;Acero;ACERO SAE 1018;27-03-2024 16:40;28-03-2024 19:02;Balcarce, Buenos Aires;MURIETTO SRL;26880;30-03-2024 6:23;30-03-2024 6:51;17.1;27.1;;T;Julieta Pérez
1477;Línea A;Acero;ACERO SAE 1018;27-03-2024 19:00;28-03-2024 23:31;Barrio Colinas Verdes, Buenos Aires;TRANSPORTES RITONDO SRL;26280;30-03-2024 10:52;30-03-2024 11:16;18.1;35.3;;N;Melina Juárez
1478;;Acero;ACERO SAE 1016;31-03-2024 8:50;01-04-2024 0:18;Tilisarao, San Luis;MURIETTO SRL;12860;02-04-2024 11:39;02-04-2024 11:56;10.9;;;;Gonzalo Castillejos
1479;Línea A;Acero;ACERO SAE 1016;29-03-2024 18:50;30-03-2024 11:47;Tilisarao, San Luis;TRANSPORTE CABRERA;12660;31-03-2024 23:08;31-03-2024 23:13;10.4;29.3;;M;Hugo Conte
1480;Línea A;Acero;ACERO SAE 1016;29-03-2024 17:20;30-03-2024 9:57;Tilisarao, San Luis;LOGISTICA CASEDEI SRL;17060;31-03-2024 21:18;31-03-2024 21:26;19.9;22.4;;M;Hugo Conte
1481;;Acero;ACERO SAE 1016;31-03-2024 9:40;01-04-2024 1:13;Tilisarao, San Luis;TRANSPORTE PUTESCO;11600;02-04-2024 12:34;02-04-2024 12:45;10.9;;;;Gonzalo Castillejos
1482;Línea A;Acero;ACERO SAE 1016;29-03-2024 17:50;30-03-2024 11:03;Tilisarao, San Luis;BUSTAMANTE E HIJOS S.A;11800;31-03-2024 22:24;31-03-2024 22:43;10.6;21.3;;M;Hugo Conte
1483;Línea A;Acero;ACERO SAE 1016;29-03-2024 19:30;30-03-2024 12:36;Tilisarao, San Luis;TRANSPORTE CABRERA;11820;31-03-2024 23:57;01-04-2024 0:11;10.1;23.8;;M;Hugo Conte
1484;Línea A;Acero;ACERO SAE 1018;27-03-2024 19:30;29-03-2024 0:14;Balcarce, Buenos Aires;TRANSPORTE CABRERA;25620;30-03-2024 11:35;30-03-2024 11:58;17;26.3;;N;Melina Juárez
1485;Línea B;Acero;ACERO SAE 1018;27-03-2024 19:00;28-03-2024 22:04;Barrio Colinas Verdes, Buenos Aires;HERNANDEZ COMPANY;28040;30-03-2024 9:25;30-03-2024 9:52;17.9;33.5;;T;Julieta Pérez
1486;Línea A;Acero;ACERO SAE 1018;28-03-2024 20:30;29-03-2024 23:02;Barrio Colinas Verdes, Buenos Aires;LOGISTICA CASEDEI SRL;29300;31-03-2024 10:23;31-03-2024 10:45;17.5;36.1;;T;Julieta Pérez
1487;Línea A;Acero;ACERO SAE 1018;28-03-2024 16:20;29-03-2024 11:36;Colonia Barragan, Buenos Aires;BUSTAMANTE E HIJOS S.A;27820;30-03-2024 22:57;30-03-2024 23:20;19.9;25.5;;M;Hugo Conte
1488;Línea B;Acero;ACERO SAE 1018;27-03-2024 19:10;29-03-2024 0:08;Balcarce, Buenos Aires;TRANSPORTES RITONDO SRL;25380;30-03-2024 11:29;30-03-2024 11:45;18.6;35.7;;N;Melina Juárez
1489;Línea B;Acero;ACERO SAE 1018;28-03-2024 17:50;29-03-2024 23:24;Colonia Barragan, Buenos Aires;BUSTAMANTE E HIJOS S.A;29200;31-03-2024 10:45;31-03-2024 11:10;19.1;32.9;;N;Melina Juárez
1490;Línea A;Acero;ACERO SAE 1018;28-03-2024 19:10;29-03-2024 15:53;Colonia Barragan, Buenos Aires;HERNANDEZ COMPANY;27540;31-03-2024 3:14;31-03-2024 3:36;18.6;31.4;;M;Hugo Conte
1491;Línea B;Acero;ACERO SAE 1018;28-03-2024 12:30;29-03-2024 5:12;Barrio Colinas Verdes, Buenos Aires;LOGISTICA CASEDEI SRL;26660;30-03-2024 16:33;30-03-2024 16:48;17.9;22.6;;N;Melina Juárez
1492;Línea B;Acero;ACERO SAE 1018;29-03-2024 14:15;30-03-2024 11:28;Yraizos, Buenos Aires;TRANSPORTE CABRERA;33800;31-03-2024 22:49;31-03-2024 23:03;18;20.1;;M;Hugo Conte
1493;Línea B;Acero;ACERO SAE 1018;28-03-2024 8:25;29-03-2024 1:16;Barrio Colinas Verdes, Buenos Aires;TRANSPORTES RITONDO SRL;25180;30-03-2024 12:37;30-03-2024 13:00;17.5;23.5;;N;Melina Juárez
1494;Línea B;Acero;ACERO SAE 1018;29-03-2024 11:30;30-03-2024 9:11;Yraizos, Buenos Aires;TRANSPORTE CABRERA;32900;31-03-2024 20:32;31-03-2024 20:43;18;23.4;;M;Hugo Conte
1495;Línea A;Acero;ACERO SAE 1018;28-03-2024 8:20;29-03-2024 1:03;Barrio Colinas Verdes, Buenos Aires;MURIETTO SRL;24860;30-03-2024 12:24;30-03-2024 12:34;18.6;24.7;;N;Melina Juárez
1496;Línea B;Acero;ACERO SAE 1018;28-03-2024 14:10;29-03-2024 10:21;Yraizos, Buenos Aires;TRANSPORTE CABRERA;30260;30-03-2024 21:42;30-03-2024 21:59;18;28.2;;M;Hugo Conte
1497;Línea A;Acero;ACERO SAE 1018;28-03-2024 12:06;29-03-2024 8:52;Colonia Barragan, Buenos Aires;LOGISTICA CASEDEI SRL;28600;30-03-2024 20:13;30-03-2024 20:39;19.8;34.7;;M;Hugo Conte
1498;Línea A;Acero;ACERO SAE 1018;28-03-2024 8:55;29-03-2024 1:50;Barrio Colinas Verdes, Buenos Aires;BUSTAMANTE E HIJOS S.A;27300;30-03-2024 13:11;30-03-2024 13:20;18;24.8;;N;Melina Juárez
1499;Línea B;Acero;ACERO SAE 1018;28-03-2024 10:40;29-03-2024 9:17;Yraizos, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;31260;30-03-2024 20:38;30-03-2024 21:06;17.7;23.8;;M;Hugo Conte
1500;Línea B;Acero;ACERO SAE 1018;28-03-2024 12:45;29-03-2024 0:33;Yraizos, Buenos Aires;LOGISTICA CASEDEI SRL;30200;29-03-2024 8:58;29-03-2024 9:44;18.1;25.7;;M;Hugo Conte
1501;Línea A;Acero;ACERO SAE 1018;28-03-2024 11:30;29-03-2024 5:17;Barrio Colinas Verdes, Buenos Aires;TRANSPORTE GIORDANO;25920;30-03-2024 16:38;30-03-2024 16:46;18.1;29;;N;Melina Juárez
1502;Línea B;Acero;ACERO SAE 1018;28-03-2024 9:30;29-03-2024 1:59;Barrio Colinas Verdes, Buenos Aires;LOGISTICA CASEDEI SRL;23880;30-03-2024 13:20;30-03-2024 13:43;18.4;23.8;;N;Melina Juárez
1503;Línea B;Acero;ACERO SAE 1018;28-03-2024 11:45;29-03-2024 12:52;Yraizos, Buenos Aires;TRANSPORTE PUTESCO;27320;31-03-2024 0:13;31-03-2024 0:14;18.9;30;;M;Hugo Conte
1504;Línea A;Acero;ACERO SAE 1018;29-03-2024 8:09;29-03-2024 16:00;Estancia San Pedro, Buenos Aires;HERNANDEZ COMPANY;26000;29-03-2024 19:55;29-03-2024 20:43;16.7;33.2;;T;Julieta Pérez
1505;Línea A;Acero;ACERO SAE 1018;28-03-2024 12:50;29-03-2024 4:37;Barrio Colinas Verdes, Buenos Aires;MURIETTO SRL;28600;30-03-2024 15:58;30-03-2024 16:02;17.6;24.1;;N;Melina Juárez
1506;Línea B;Acero;ACERO SAE 1018;29-03-2024 15:15;30-03-2024 23:54;Yraizos, Buenos Aires;TRANSPORTE CABRERA;33760;01-04-2024 11:15;01-04-2024 11:30;17.6;20;;T;Julieta Pérez
1507;Línea B;Acero;ACERO SAE 1018;28-03-2024 10:45;29-03-2024 4:33;Barrio Colinas Verdes, Buenos Aires;TRANSPORTE GIORDANO;27140;30-03-2024 15:54;30-03-2024 16:00;18;22.9;;N;Melina Juárez
1508;Línea B;Acero;ACERO SAE 1018;28-03-2024 10:05;29-03-2024 3:52;Barrio Colinas Verdes, Buenos Aires;TRANSPORTE PUTESCO;32860;30-03-2024 15:13;30-03-2024 15:21;18.5;23.5;;N;Melina Juárez
1509;Línea A;Acero;ACERO SAE 1018;28-03-2024 18:20;29-03-2024 12:21;Colonia Barragan, Buenos Aires;TRANSPORTES LOPEZ SRL;27840;30-03-2024 23:42;30-03-2024 23:46;19.1;21.7;;M;Hugo Conte
1510;Línea A;Acero;ACERO SAE 1018;28-03-2024 13:15;29-03-2024 9:50;Colonia Barragan, Buenos Aires;MURIETTO SRL;35740;30-03-2024 21:11;30-03-2024 21:20;19.5;39.5;;M;Hugo Conte
1511;Línea A;Acero;ACERO SAE 1018;28-03-2024 19:00;29-03-2024 18:44;Yraizos, Buenos Aires;TRANSPORTE CABRERA;31680;31-03-2024 6:05;31-03-2024 6:10;18.6;32;;T;Julieta Pérez
1512;Línea A;Acero;ACERO SAE 1016;29-03-2024 16:00;30-03-2024 8:44;Tilisarao, San Luis;LOGISTICA CASEDEI SRL;16920;30-03-2024 8:49;30-03-2024 10:00;19.9;22.4;;M;Hugo Conte
1513;Línea A;Acero;ACERO SAE 1016;29-03-2024 15:00;30-03-2024 7:29;Tilisarao, San Luis;DANIEL MARCELO SRL;17560;31-03-2024 18:50;31-03-2024 19:13;11.6;23.4;;N;Melina Juárez
1514;Línea A;Acero;ACERO SAE 1018;28-03-2024 9:50;29-03-2024 3:51;Barrio Colinas Verdes, Buenos Aires;TRANSPORTE GIORDANO;34420;30-03-2024 15:12;30-03-2024 15:25;17.9;23.8;;N;Melina Juárez
1515;Línea A;Acero;ACERO SAE 1018;28-03-2024 8:50;29-03-2024 8:01;Balcarce, Buenos Aires;TRANSPORTE PUTESCO;24500;30-03-2024 19:22;30-03-2024 19:50;19.8;25.3;;M;Hugo Conte
1516;Línea B;Acero;ACERO SAE 1018;28-03-2024 8:30;29-03-2024 8:08;Provincia de Buenos Aires;TRANSPORTE PUTESCO;32460;30-03-2024 19:29;30-03-2024 19:31;17.1;25.9;;M;Hugo Conte
1517;Línea B;Acero;ACERO SAE 1018;29-03-2024 12:45;30-03-2024 12:21;Yraizos, Buenos Aires;TRANSPORTE CABRERA;30340;31-03-2024 23:42;31-03-2024 23:48;18.9;21.2;;M;Hugo Conte
1518;Línea A;Acero;ACERO SAE 1016;28-03-2024 10:15;28-03-2024 21:40;Tilisarao, San Luis;TRANSPORTES LOPEZ SRL;2900;30-03-2024 9:01;30-03-2024 9:14;11.5;37.8;;T;Julieta Pérez
1519;Línea B;Acero;ACERO SAE 1018;29-03-2024 16:30;30-03-2024 14:37;Yraizos, Buenos Aires;TRANSPORTES RITONDO SRL;34000;01-04-2024 1:58;01-04-2024 2:09;18.5;29.2;;M;Hugo Conte
1520;Línea B;Acero;ACERO SAE 1018;28-03-2024 11:50;29-03-2024 7:04;Balcarce, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;27940;30-03-2024 18:25;30-03-2024 18:27;17.5;31.7;;N;Melina Juárez
1521;Línea B;Acero;ACERO SAE 1018;28-03-2024 14:00;29-03-2024 15:30;Provincia de Buenos Aires;TRANSPORTES RITONDO SRL;25620;31-03-2024 2:51;31-03-2024 2:53;18.6;23.4;;T;Julieta Pérez
1522;Línea A;Acero;ACERO SAE 1018;28-03-2024 20:30;29-03-2024 23:57;Tamangueyú, Buenos Aires;LOGISTICA CASEDEI SRL;21520;31-03-2024 11:18;31-03-2024 11:42;18.8;33.2;;N;Melina Juárez
1523;Línea B;Acero;ACERO SAE 1018;28-03-2024 17:00;29-03-2024 20:44;Balcarce, Buenos Aires;BUSTAMANTE E HIJOS S.A;22360;31-03-2024 8:05;31-03-2024 8:25;18.7;33.1;;T;Julieta Pérez
1524;Línea A;Acero;ACERO SAE 1018;29-03-2024 15:30;30-03-2024 20:32;Estancia San Pedro, Buenos Aires;TRANSPORTE GIORDANO;30280;01-04-2024 7:53;01-04-2024 8:21;18;36.7;;T;Julieta Pérez
1525;Línea B;Acero;ACERO SAE 1018;29-03-2024 12:10;29-03-2024 23:55;Yraizos, Buenos Aires;TRANSPORTE GIORDANO;18800;30-03-2024 23:19;30-03-2024 23:58;19.1;24.6;;N;Melina Juárez
1526;Línea B;Acero;ACERO SAE 1018;29-03-2024 18:30;30-03-2024 13:14;Yraizos, Buenos Aires;LOGISTICA CASEDEI SRL;31980;01-04-2024 0:35;01-04-2024 0:59;19;20;;M;Hugo Conte
1527;Línea B;Acero;ACERO SAE 1018;29-03-2024 11:40;30-03-2024 4:36;Colonia Barragan, Buenos Aires;MURIETTO SRL;27780;31-03-2024 15:57;31-03-2024 16:16;19.1;32;;N;Melina Juárez
1528;Línea A;Acero;ACERO SAE 1018;29-03-2024 10:40;30-03-2024 3:21;Estancia San Pedro, Buenos Aires;MURIETTO SRL;25520;31-03-2024 14:42;31-03-2024 14:43;18;25.3;;N;Melina Juárez
1529;Línea A;Acero;ACERO SAE 1018;29-03-2024 12:00;30-03-2024 17:04;Estancia San Pedro, Buenos Aires;MURIETTO SRL;20820;01-04-2024 4:25;01-04-2024 4:40;17.8;20;;T;Julieta Pérez
1530;Línea B;Acero;ACERO SAE 1018;31-03-2024 8:15;01-04-2024 9:58;Yraizos, Buenos Aires;TRANSPORTE PUTESCO;31880;02-04-2024 21:19;02-04-2024 21:44;16;26.7;;M;Julieta Pérez
1531;Línea B;Acero;ACERO SAE 1018;29-03-2024 18:00;30-03-2024 21:15;Yraizos, Buenos Aires;LOGISTICA CASEDEI SRL;28760;01-04-2024 8:36;01-04-2024 8:43;18.1;19.8;;T;Julieta Pérez
1532;Línea B;Acero;ACERO SAE 1018;29-03-2024 14:10;30-03-2024 17:52;Estancia San Pedro, Buenos Aires;LOGISTICA CASEDEI SRL;30240;01-04-2024 5:13;01-04-2024 5:18;18;22.7;;T;Julieta Pérez
1533;Línea B;Acero;ACERO SAE 1018;29-03-2024 9:10;30-03-2024 1:28;Colonia Barragan, Buenos Aires;HERNANDEZ COMPANY;30140;31-03-2024 12:49;31-03-2024 13:06;18.7;23.5;;N;Melina Juárez
1534;Línea B;Acero;ACERO SAE 1018;29-03-2024 17:30;30-03-2024 19:43;Estancia San Pedro, Buenos Aires;DANIEL MARCELO SRL;31020;01-04-2024 7:04;01-04-2024 7:11;17.4;31.5;;T;Julieta Pérez
1535;Línea A;Acero;ACERO SAE 1018;29-03-2024 14:30;30-03-2024 5:17;Estancia San Pedro, Buenos Aires;DANIEL MARCELO SRL;30520;31-03-2024 16:38;31-03-2024 16:52;17.9;20.8;;N;Melina Juárez
1536;Línea B;Acero;ACERO SAE 1018;29-03-2024 17:30;30-03-2024 15:15;Yraizos, Buenos Aires;TRANSPORTES RITONDO SRL;33220;01-04-2024 2:36;01-04-2024 2:59;17.6;33.8;;T;Julieta Pérez
1537;Línea A;Acero;ACERO SAE 1018;29-03-2024 18:20;30-03-2024 4:12;Yraizos, Buenos Aires;TRANSPORTE PUTESCO;22360;30-03-2024 20:29;30-03-2024 21:10;18.1;35.7;;T;Julieta Pérez
1538;;Acero;ACERO SAE 1055;30-03-2024 0:00;30-03-2024 10:00;Los Indios, Buenos Aires;LOGISTICA CASEDEI SRL;24000;31-03-2024 21:21;31-03-2024 21:39;;;;;Gonzalo Castillejos
1539;Línea B;Acero;ACERO SAE 1018;29-03-2024 14:30;30-03-2024 18:37;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;21980;01-04-2024 5:58;01-04-2024 6:18;16.8;29.3;;T;Julieta Pérez
1540;Línea A;Acero;ACERO SAE 1018;29-03-2024 11:40;30-03-2024 3:54;Estancia San Pedro, Buenos Aires;TRANSPORTE PUTESCO;24500;31-03-2024 15:15;31-03-2024 15:15;18.1;28;;N;Melina Juárez
1541;Línea B;Acero;ACERO SAE 1018;29-03-2024 18:00;30-03-2024 20:31;Yraizos, Buenos Aires;LOGISTICA CASEDEI SRL;22220;01-04-2024 7:52;01-04-2024 8:11;17.9;20.6;;T;Julieta Pérez
1542;Línea A;Acero;ACERO SAE 1018;29-03-2024 14:20;30-03-2024 18:03;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;22200;01-04-2024 5:24;01-04-2024 5:45;17.4;21.7;;T;Julieta Pérez
1543;Línea A;Acero;ACERO SAE 1018;29-03-2024 9:30;30-03-2024 0:35;Estancia San Pedro, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;20720;30-03-2024 23:50;31-03-2024 0:22;18;23.2;;N;Melina Juárez
1544;Línea B;Acero;ACERO SAE 1018;29-03-2024 10:00;30-03-2024 3:52;Colonia Barragan, Buenos Aires;BUSTAMANTE E HIJOS S.A;30180;31-03-2024 15:13;31-03-2024 15:38;19;21.3;;N;Melina Juárez
1545;;Acero;ACERO SAE 1055;30-03-2024 0:00;30-03-2024 8:00;Los Indios, Buenos Aires;HERNANDEZ COMPANY;24000;31-03-2024 19:21;31-03-2024 19:29;;;;;Gonzalo Castillejos
1546;Línea A;Acero;ACERO SAE 1108;30-03-2024 15:30;30-03-2024 23:04;Ines Indart, Buenos Aires;BUSTAMANTE E HIJOS S.A;29100;01-04-2024 10:25;01-04-2024 10:40;19.7;21.5;;T;Julieta Pérez
1547;Línea B;Acero;ACERO SAE 1108;31-03-2024 16:30;01-04-2024 0:37;Ines Indart, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;15660;02-04-2024 11:58;02-04-2024 12:26;18.6;19.9;;N;Hugo Conte
1548;Línea A;Acero;ACERO SAE 1108;31-03-2024 20:20;01-04-2024 10:18;Ines Indart, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;18340;02-04-2024 21:39;02-04-2024 21:42;19.5;21.4;;M;Julieta Pérez
1549;Línea B;Acero;ACERO SAE 1108;30-03-2024 9:40;30-03-2024 22:18;Ines Indart, Buenos Aires;TRANSPORTES RITONDO SRL;25280;01-04-2024 9:39;01-04-2024 9:48;19.1;38.5;;T;Julieta Pérez
1550;Línea B;Acero;ACERO SAE 1018;29-03-2024 10:50;30-03-2024 1:55;Colonia Barragan, Buenos Aires;TRANSPORTES RITONDO SRL;28420;31-03-2024 13:16;31-03-2024 13:32;18.8;27.2;;N;Melina Juárez
1551;Línea B;Acero;ACERO SAE 1018;29-03-2024 13:00;30-03-2024 17:07;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;21660;01-04-2024 4:28;01-04-2024 4:31;17.9;32.5;;T;Julieta Pérez
1552;Línea A;Acero;ACERO SAE 1018;29-03-2024 10:00;30-03-2024 1:11;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;21000;31-03-2024 12:32;31-03-2024 12:35;18.1;25.4;;N;Melina Juárez
1553;Línea B;Acero;ACERO SAE 1018;29-03-2024 19:25;30-03-2024 15:49;Yraizos, Buenos Aires;TRANSPORTE PUTESCO;30640;01-04-2024 3:10;01-04-2024 3:24;17.4;32.2;;T;Julieta Pérez
1554;Línea B;Acero;ACERO SAE 1040;29-03-2024 18:30;30-03-2024 7:37;Zentena, Buenos Aires;TRANSPORTE PUTESCO;29480;31-03-2024 18:58;31-03-2024 19:22;11;20.3;;N;Melina Juárez
1555;Línea A;Acero;ACERO SAE 1040;31-03-2024 10:20;01-04-2024 1:54;Zentena, Buenos Aires;TRANSPORTE PUTESCO;25100;02-04-2024 13:15;02-04-2024 13:28;11.5;22.2;;N;Hugo Conte
1556;Línea A;Acero;ACERO SAE 1040;31-03-2024 14:25;01-04-2024 5:41;Pasman, Buenos Aires;TRANSPORTES RITONDO SRL;28800;02-04-2024 17:02;02-04-2024 17:22;18.1;19.9;;N;Hugo Conte
1557;Línea B;Acero;ACERO SAE 1040;31-03-2024 17:30;01-04-2024 14:49;Pasman, Buenos Aires;TRANSPORTE CABRERA;28640;03-04-2024 2:10;03-04-2024 2:17;16.6;16.5;;M;Julieta Pérez
1558;Línea B;Acero;ACERO SAE 1040;31-03-2024 12:00;01-04-2024 2:24;Pasman, Buenos Aires;MURIETTO SRL;20900;02-04-2024 13:45;02-04-2024 14:11;11;19.2;;N;Hugo Conte
1559;Línea A;Acero;ACERO SAE 1040;31-03-2024 9:50;01-04-2024 1:37;Zentena, Buenos Aires;LOGISTICA CASEDEI SRL;22780;02-04-2024 12:58;02-04-2024 13:21;11.1;19.3;;N;Hugo Conte
1560;Línea B;Acero;ACERO SAE 1040;31-03-2024 18:20;01-04-2024 16:00;Pasman, Buenos Aires;BUSTAMANTE E HIJOS S.A;27680;03-04-2024 3:21;03-04-2024 3:46;15.8;14.4;;T;Melina Juárez
1561;Línea B;Acero;ACERO SAE 1040;31-03-2024 15:00;01-04-2024 7:29;Pasman, Buenos Aires;TRANSPORTE CABRERA;29900;02-04-2024 18:50;02-04-2024 19:15;16.9;22.7;;N;Hugo Conte
1562;Línea A;Acero;ACERO SAE 1108;30-03-2024 11:30;30-03-2024 22:24;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;25600;01-04-2024 9:45;01-04-2024 10:06;19.5;37.4;;T;Julieta Pérez
1563;Línea B;Acero;ACERO SAE 1040;31-03-2024 12:25;01-04-2024 5:45;Pasman, Buenos Aires;HERNANDEZ COMPANY;26300;02-04-2024 17:06;02-04-2024 17:09;17.9;20.9;;N;Hugo Conte
1564;Línea A;Acero;ACERO SAE 1040;31-03-2024 17:00;01-04-2024 8:48;Pasman, Buenos Aires;BUSTAMANTE E HIJOS S.A;29120;02-04-2024 20:09;02-04-2024 20:12;16;20.8;;M;Julieta Pérez
1565;Línea A;Acero;ACERO SAE 1040;31-03-2024 11:35;01-04-2024 4:50;Pasman, Buenos Aires;MURIETTO SRL;28120;02-04-2024 16:11;02-04-2024 16:19;18;19.7;;N;Hugo Conte
1566;Línea A;Acero;ACERO SAE 1040;01-04-2024 7:40;01-04-2024 17:40;Pasman, Buenos Aires;TRANSPORTE CABRERA;28800;03-04-2024 5:01;03-04-2024 5:07;16;20.8;;N;Hugo Conte
1567;Línea B;Acero;ACERO SAE 1108;30-03-2024 13:35;30-03-2024 23:01;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;28780;01-04-2024 10:22;01-04-2024 10:24;10.7;29.1;;T;Julieta Pérez
1568;Línea B;Acero;ACERO SAE 1040;31-03-2024 9:10;01-04-2024 3:25;Zentena, Buenos Aires;TRANSPORTE PUTESCO;26200;02-04-2024 14:46;02-04-2024 15:06;11;18.7;;N;Hugo Conte
1569;Línea A;Acero;ACERO SAE 1018;31-03-2024 12:35;01-04-2024 19:15;Estancia San Pedro, Buenos Aires;BUSTAMANTE E HIJOS S.A;22280;03-04-2024 6:36;03-04-2024 6:59;16.8;18.3;;T;Melina Juárez
1570;Línea A;Acero;ACERO SAE 1108;31-03-2024 18:10;01-04-2024 0:34;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;17320;02-04-2024 11:55;02-04-2024 11:57;18.6;20.9;;N;Hugo Conte
1571;Línea B;Acero;ACERO SAE 1040;31-03-2024 19:00;01-04-2024 16:46;Pasman, Buenos Aires;TRANSPORTE CABRERA;30240;03-04-2024 4:07;03-04-2024 4:22;16;14.8;;T;Melina Juárez
1572;;Acero;ACERO SAE 1016;31-03-2024 11:30;01-04-2024 5:30;Tilisarao, San Luis;TRANSPORTE CABRERA;5540;02-04-2024 16:51;02-04-2024 17:14;;;;;Gonzalo Castillejos
1573;Línea A;Acero;ACERO SAE 1108;31-03-2024 22:20;31-03-2024 23:54;Ines Indart, Buenos Aires;LOGISTICA CASEDEI SRL;24000;01-04-2024 10:54;01-04-2024 11:25;19.5;20.2;;M;Julieta Pérez
1574;Línea A;Acero;ACERO SAE 1108;31-03-2024 21:50;01-04-2024 10:50;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;15320;02-04-2024 22:11;02-04-2024 22:34;19.6;20.8;;M;Julieta Pérez
1575;Línea B;Acero;ACERO SAE 1040;31-03-2024 16:20;01-04-2024 8:34;Pasman, Buenos Aires;TRANSPORTE CABRERA;29680;02-04-2024 19:55;02-04-2024 20:09;17.1;20.9;;M;Julieta Pérez
1576;Línea B;Acero;ACERO SAE 1040;31-03-2024 9:45;01-04-2024 4:56;Pasman, Buenos Aires;MURIETTO SRL;35500;02-04-2024 16:17;02-04-2024 16:44;17.9;26.3;;N;Hugo Conte
1577;;Acero;ACERO SAE 1016;31-03-2024 10:15;01-04-2024 3:28;Tilisarao, San Luis;BUSTAMANTE E HIJOS S.A;12100;02-04-2024 14:49;02-04-2024 14:57;;;;;Gonzalo Castillejos
1578;;Acero;ACERO SAE 1016;31-03-2024 10:50;01-04-2024 4:55;Tilisarao, San Luis;TRANSPORTE CABRERA;10840;02-04-2024 16:16;02-04-2024 16:43;;;;;Gonzalo Castillejos
1579;Línea A;Acero;ACERO SAE 1018;31-03-2024 13:00;01-04-2024 20:03;Balcarce, Buenos Aires;TRANSPORTE CABRERA;25040;03-04-2024 7:24;03-04-2024 7:42;16.8;18.3;;T;Melina Juárez
1580;Línea A;Acero;ACERO SAE 1018;31-03-2024 9:25;01-04-2024 15:33;Balcarce, Buenos Aires;TRANSPORTE PUTESCO;27880;03-04-2024 2:54;03-04-2024 3:03;16.1;32.1;;M;Julieta Pérez
1581;Línea B;Acero;ACERO SAE 1018;31-03-2024 9:15;01-04-2024 11:44;Balcarce, Buenos Aires;TRANSPORTE PUTESCO;30500;02-04-2024 23:05;02-04-2024 23:11;16;12.5;;M;Julieta Pérez
1582;Línea B;Acero;ACERO SAE 1018;01-04-2024 12:50;02-04-2024 20:58;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;24200;04-04-2024 8:19;04-04-2024 8:44;14.7;27;;T;Melina Juárez
1583;Línea A;Acero;ACERO SAE 1018;31-03-2024 10:30;01-04-2024 7:01;Balcarce, Buenos Aires;LOGISTICA CASEDEI SRL;29020;01-04-2024 11:46;01-04-2024 12:33;15.1;20.6;;M;Julieta Pérez
1584;Línea A;Acero;ACERO SAE 1018;17-05-2024 17:57;17-05-2024 18:47;Balcarce, Buenos Aires;TRANSPORTE PUTESCO;28580;19-05-2024 6:08;19-05-2024 6:30;17.1;25.1;;T;Melina Juárez
1585;Línea A;Acero;ACERO SAE 1018;31-03-2024 12:15;31-03-2024 21:34;Balcarce, Buenos Aires;MURIETTO SRL;26000;01-04-2024 12:34;01-04-2024 13:19;15.8;21.7;;M;Julieta Pérez
1586;Línea A;Acero;ACERO SAE 1018;31-03-2024 10:30;01-04-2024 16:08;Balcarce, Buenos Aires;TRANSPORTES RITONDO SRL;30440;03-04-2024 3:29;03-04-2024 3:38;17.5;18.8;;T;Melina Juárez
1587;Línea B;Acero;ACERO SAE 1018;31-03-2024 11:00;01-04-2024 0:54;Balcarce, Buenos Aires;HERNANDEZ COMPANY;29920;01-04-2024 11:46;01-04-2024 12:38;15.7;19.9;;M;Julieta Pérez
1588;Línea B;Acero;ACERO SAE 1018;31-03-2024 12:20;31-03-2024 16:56;Balcarce, Buenos Aires;MURIETTO SRL;5220;01-04-2024 12:39;01-04-2024 13:00;16.9;19;;M;Hugo Conte
1589;Línea A;Acero;ACERO SAE 1018;31-03-2024 11:30;01-04-2024 16:51;Balcarce, Buenos Aires;LOGISTICA CASEDEI SRL;22200;03-04-2024 4:12;03-04-2024 4:39;17;22.2;;T;Melina Juárez
1590;Línea B;Acero;ACERO SAE 1018;01-04-2024 14:40;02-04-2024 22:46;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;23780;04-04-2024 10:07;04-04-2024 10:08;14.8;25.7;;T;Melina Juárez
1591;Línea B;Acero;ACERO SAE 1018;03-04-2024 0:44;03-04-2024 8:21;Estancia San Pedro, Buenos Aires;TRANSPORTE CABRERA;20540;04-04-2024 19:42;04-04-2024 19:59;11.7;15.9;;N;Hugo Conte
